"Freq [GHz]","sqrt(2)*sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)))) []"
0.001,1.25020278505121E-05
0.104413793103448,0.00130442261704193
0.207827586206897,0.00259664911551621
0.311241379310345,0.00388946563927356
0.414655172413793,0.00518316735119737
0.518068965517241,0.00647805105072874
0.62148275862069,0.00777441598018425
0.724896551724138,0.00907256451255055
0.828310344827586,0.0103728027927088
0.931724137931034,0.0116754416322147
1.03513793103448,0.012980797369211
1.13855172413793,0.0142891928595508
1.24196551724138,0.0156009586245786
1.34537931034483,0.0169164340947766
1.44879310344828,0.0182359691053807
1.55220689655172,0.0195599255907794
1.65562068965517,0.0208886796144743
1.75903448275862,0.0222226237824284
1.86244827586207,0.0235621701826805
1.96586206896552,0.0249077540734982
2.06927586206897,0.0262598384669381
2.17268965517241,0.0276189201089211
2.27610344827586,0.0289855372964299
2.37951724137931,0.0303602803627617
2.48293103448276,0.0317438061038835
2.58634482758621,0.0331368579983807
2.68975862068966,0.0345402954066503
2.7931724137931,0.0359551369002319
2.89658620689655,0.0373826267115844
3,0.0388243404805078

