"Phase [deg]","Freq [GHz]","output_ez []"
0,0.001,0.0032483355372891
0,0.0055,0.0178658308090015
0,0.01,0.032483246299944
0,0.055,0.178639287004654
0,0.1,0.324718276280681
0,0.4625,1.49120664635197
0,0.825,2.61969976536318
0,1.55,4.69280071323586
0,1.9125,5.62287387035511
0,2.275,6.47623353406857
0,3,7.93518737464777

