"Freq [GHz]","ang_rad(S(waveport2:1,antenna)) [rad]","ang_rad(S(waveport1:1,antenna)) [rad]"
0.001,-1.57203210862117,1.56944652796488
0.0084975,-1.58129736063733,1.55932639568738
0.015995,-1.59056260839883,1.54920628267048
0.0234925,-1.59982782653316,1.53908619393808
0.03099,-1.60909300327496,1.52896614311762
0.0384875,-1.6183581261432,1.51884614235957
0.045985,-1.62762318250525,1.50872620361172
0.0534825,-1.63688815971443,1.49860633868777
0.06098,-1.6461530451702,1.48848655925651
0.0684775,-1.65541782635476,1.47836687682101
0.075975,-1.66468249085894,1.46824730269616
0.0834725,-1.67394702640276,1.45812784798609
0.09097,-1.68321142085312,1.44800852356143
0.0984675,-1.69247566223993,1.43788934003696
0.105965,-1.70173971913724,1.4277703168414
0.1134625,-1.71100359184372,1.41765146347492
0.12096,-1.72026727227842,1.4075327900316
0.1284575,-1.72953074759553,1.39741430835019
0.135955,-1.73879400500671,1.38729603025545
0.1434525,-1.74805703177214,1.37717796755798
0.15095,-1.75731981519472,1.36706013205383
0.1584475,-1.76658234261607,1.35694253552401
0.165945,-1.77584460141406,1.346825189734
0.1734425,-1.78510657900118,1.33670810643313
0.18094,-1.79436826282365,1.32659129735399
0.1884375,-1.80362964036099,1.31647477421176
0.195935,-1.81289069912592,1.30635854870359
0.2034325,-1.82215142666458,1.29624263250794
0.21093,-1.83141181055686,1.28612703728386
0.2184275,-1.84067183841697,1.27601177467039
0.225925,-1.84993149789405,1.26589685628583
0.2334225,-1.85919077667285,1.25578229372705
0.24092,-1.86844966247458,1.24566809856886
0.2484175,-1.87770814305769,1.23555428236332
0.255915,-1.88696620621875,1.22544085663903
0.2634125,-1.89622383979333,1.21532783290048
0.27091,-1.90548103165692,1.20521522262738
0.2784075,-1.91473776972589,1.195103037274
0.285905,-1.92399404195835,1.18499128826848
0.2934025,-1.9332498363552,1.17487998701218
0.3009,-1.94250514096097,1.16476914487904
0.3083975,-1.95175994386488,1.15465877321489
0.315895,-1.96101423320168,1.14454888333682
0.3233925,-1.97026799715271,1.13443948653256
0.33089,-1.97952122394674,1.12433059405978
0.3383875,-1.98877390186099,1.1142222171455
0.345885,-1.99802601922201,1.10411436698546
0.3533825,-2.00727756440665,1.09400705474347
0.36088,-2.01652852584294,1.08390029155079
0.3683775,-2.02577889201103,1.07379408850553
0.375875,-2.03502865144408,1.06368845667204
0.3833725,-2.04427779272913,1.05358340708029
0.39087,-2.05352630450804,1.04347895072527
0.3983675,-2.06277417547829,1.03337509856643
0.405865,-2.07202139439388,1.02327186152703
0.4133625,-2.08126795006621,1.01316925049363
0.42086,-2.09051383136482,1.00306727631545
0.4283575,-2.09975902721833,0.992965949803834
0.435855,-2.10900352661516,0.982865281731685
0.4433525,-2.11824731860438,0.972765282832895
0.45085,-2.12749039229647,0.962665963801804
0.4583475,-2.13673273686412,0.952567335292646
0.465845,-2.14597434154297,0.942469407919016
0.4733425,-2.15521519563233,0.932372192253338
0.48084,-2.16445528849597,0.922275698826336
0.4883375,-2.17369460956279,0.912179938126517
0.495835,-2.18293314832753,0.90208492059966
0.5033325,-2.19217089435147,0.891990656648308
0.51083,-2.20140783726309,0.881897156631275
0.5183275,-2.21064396675871,0.871804430863147
0.525825,-2.21987927260318,0.861712489613807
0.5333225,-2.22911374463043,0.851621343107949
0.54082,-2.23834737274417,0.841531001524616
0.5483175,-2.24758014691838,0.831441474996732
0.555815,-2.25681205719799,0.82135277361065
0.5633125,-2.26604309369935,0.811264907405701
0.57081,-2.27527324661083,0.801177886373757
0.5783075,-2.28450250619332,0.791091720458795
0.585805,-2.29373086278076,0.781006419556477
0.5933025,-2.30295830678062,0.770921993513724
0.6008,-2.31218482867435,0.760838452128314
0.6082975,-2.32141041901791,0.750755805148474
0.615795,-2.33063506844212,0.740674062272487
0.6232925,-2.33985876765315,0.730593233148308
0.63079,-2.34908150743292,0.720513327373182
0.6382875,-2.35830327863945,0.710434354493271
0.645785,-2.36752407220726,0.700356324003295
0.6532825,-2.37674387914773,0.690279245346177
0.66078,-2.3859626905494,0.68020312791269
0.6682775,-2.39518049757835,0.670127981041125
0.675775,-2.40439729147841,0.660053814016954
0.6832725,-2.41361306357152,0.649980636072513
0.69077,-2.42282780525798,0.639908456386679
0.6982675,-2.43204150801664,0.629837284084572
0.705765,-2.44125416340519,0.61976712823725
0.7132625,-2.45046576306035,0.609697997861421
0.72076,-2.45967629869805,0.599629901919162
0.7282575,-2.46888576211362,0.589562849317644
0.735755,-2.47809414518191,0.579496848908866
0.7432525,-2.48730143985749,0.569431909489398
0.75075,-2.4965076381747,0.559368039800133
0.7582475,-2.50571273224779,0.549305248526045
0.765745,-2.514916714271,0.539243544295959
0.7732425,-2.52411957651862,0.52918293568232
0.78074,-2.53332131134502,0.519123431200991
0.7882375,-2.54252191118471,0.50906503931103
0.795735,-2.55172136855232,0.499007768414504
0.8032325,-2.56091967604261,0.48895162685629
0.81073,-2.57011682633044,0.478896622923897
0.8182275,-2.57931281217075,0.468842764847292
0.825725,-2.58850762639846,0.458790060798734
0.8332225,-2.59770126192839,0.448738518892617
0.84072,-2.60689371175523,0.438688147185321
0.8482175,-2.61608496895336,0.428638953675073
0.855715,-2.62527502667672,0.418590946301815
0.8632125,-2.63446387815873,0.408544132947079
0.87071,-2.64365151671204,0.398498521433874
0.8782075,-2.65283793572842,0.388454119526579
0.885705,-2.66202312867851,0.37841093493084
0.8932025,-2.67120708911164,0.368368975293489
0.9007,-2.68038981065556,0.358328248202452
0.9081975,-2.68957128701625,0.348288761186683
0.915695,-2.6987515119776,0.338250521716095
0.9231925,-2.70793047940115,0.328213537201503
0.93069,-2.7171081832258,0.318177814994576
0.9381875,-2.72628461746749,0.308143362387798
0.945685,-2.73545977621887,0.29811018661443
0.9531825,-2.74463365364896,0.288078294848492
0.96068,-2.75380624400278,0.278047694204743
0.9681775,-2.762977541601,0.268018391738674
0.975675,-2.77214754083952,0.257990394446504
0.9831725,-2.78131623618908,0.247963709265196
0.99067,-2.79048362219483,0.237938343072464
0.9981675,-2.79964969347592,0.227914302686804
1.005665,-2.80881444472503,0.217891594867519
1.0131625,-2.81797787070789,0.207870226314762
1.02066,-2.82713996626285,0.197850203669586
1.0281575,-2.83630072630036,0.187831533513992
1.035655,-2.84546014580243,0.177814222370998
1.0431525,-2.85461821982221,0.167798276704707
1.05065,-2.86377494348333,0.157783702920385
1.0581475,-2.87293031197948,0.147770507364546
1.065645,-2.88208432057377,0.13775869632505
1.0731425,-2.89123696459816,0.127748276031196
1.08064,-2.90038823945295,0.117739252653836
1.0881375,-2.9095381406061,0.107731632305489
1.095635,-2.91868666359267,0.0977254210404648
1.1031325,-2.92783380401419,0.0877206248549909
1.11063,-2.93697955753804,0.0777172496873543
1.1181275,-2.94612391989677,0.0677153014180441
1.125625,-2.95526688688752,0.0577147858699018
1.1331225,-2.96440845437127,0.0477157088082835
1.14062,-2.97354861827222,0.0377180759412224
1.1481175,-2.98268737457711,0.0277218929196037
