"Freq [GHz]","sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
0.001,0.00379914966591166
0.104413793103448,0.396540882524947
0.207827586206897,0.788447027414326
0.311241379310345,1.17869877010219
0.414655172413793,1.56649451460832
0.518068965517241,1.95105792666467
0.62148275862069,2.33164538281007
0.724896551724138,2.70755265055846
0.828310344827586,3.07812070221949
0.931724137931034,3.44274052772243
1.03513793103448,3.80085692412748
1.13855172413793,4.15197122931196
1.24196551724138,4.49564301028737
1.34537931034483,4.83149075297375
1.44879310344828,5.15919162602194
1.55220689655172,5.47848040624181
1.65562068965517,5.78914766432635
1.75903448275862,6.09103733587942
1.86244827586207,6.38404378339083
1.96586206896552,6.66810847030304
2.06927586206897,6.94321635498797
2.17268965517241,7.20939210960896
2.27610344827586,7.4666962545687
2.37951724137931,7.71522129015137
2.48293103448276,7.95508789577378
2.58634482758621,8.18644125321239
2.68975862068966,8.40944754038441
2.7931724137931,8.62429063269455
2.89658620689655,8.83116904000381
3,9.03029310077133

