"Freq [GHz]","sqrt(2)*sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
0.001,19.9910064814051
0.104413793103448,19.990875781539
0.207827586206897,19.9905544884051
0.311241379310345,19.9900199843343
0.414655172413793,19.9892718044767
0.518068965517241,19.9883091993057
0.62148275862069,19.9871312553438
0.724896551724138,19.9857368343215
0.828310344827586,19.9841245775203
0.931724137931034,19.9822929055684
1.03513793103448,19.9802400138515
1.13855172413793,19.9779638605285
1.24196551724138,19.9754621618319
1.34537931034483,19.9727323733556
1.44879310344828,19.969771684424
1.55220689655172,19.9665769974227
1.65562068965517,19.9631449122364
1.75903448275862,19.9594717009832
1.86244827586207,19.9555532831903
1.96586206896552,19.9513851909046
2.06927586206897,19.9469625296174
2.17268965517241,19.9422799257031
2.27610344827586,19.9373314633888
2.37951724137931,19.9321105979552
2.48293103448276,19.92661004512
2.58634482758621,19.9208216230285
2.68975862068966,19.9147360344676
2.7931724137931,19.9083425456889
2.89658620689655,19.9016285008707
3,19.8945785573711

