"Freq [GHz]","sqrt(2)*sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)))) []"
0.001,1.24394683764003E-05
0.104413793103448,0.00129530708337415
0.207827586206897,0.0025785029066624
0.311241379310345,0.00386228321958335
0.414655172413793,0.00514694045207308
0.518068965517241,0.00643276869132185
0.62148275862069,0.00772006446326172
0.724896551724138,0.00900912764830313
0.828310344827586,0.0103002617054141
0.931724137931034,0.0115937749890129
1.03513793103448,0.0128899811024939
1.13855172413793,0.0141892003192708
1.24196551724138,0.0154917603144255
1.34537931034483,0.0167979975569508
1.44879310344828,0.0181082588150473
1.55220689655172,0.0194229026027353
1.65562068965517,0.0207423011930044
1.75903448275862,0.0220668431616359
1.86244827586207,0.0233969360837189
1.96586206896552,0.0247330102837516
2.06927586206897,0.026075523306749
2.17268965517241,0.027424965938729
2.27610344827586,0.028781869813489
2.37951724137931,0.0301468179642599
2.48293103448276,0.0315204589552438
2.58634482758621,0.0329035269072033
2.68975862068966,0.0342968705183484
2.7931724137931,0.0357014956122585
2.89658620689655,0.0371186310832928
3,0.0385498333495381

