"Freq [GHz]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)) []","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]"
0.001,0.0134240269267702,89.9999983510836
0.0084975,0.114070694768442,89.9999859887753
0.015995,0.214717485517732,89.999973619715
0.0234925,0.315364507681447,89.9999612593094
0.03099,0.416011869713489,89.9999488970668
0.0384875,0.516659680094769,89.9999365349338
0.045985,0.617308047312445,89.9999241730922
0.0534825,0.717957079765621,89.9999118115057
0.06098,0.818606886413745,89.9998994500111
0.0684775,0.91925757525694,89.9998870883352
0.075975,1.01990925509555,89.9998747260846
0.0834725,1.12056203451025,89.9998623627362
0.09097,1.22121602214551,89.9998499976283
0.0984675,1.32187132695642,89.9998376299483
0.105965,1.42252805013475,89.9998252659718
0.1134625,1.52318631820957,89.9998129029921
0.12096,1.62384622387394,89.9998005395033
0.1284575,1.72450788009827,89.9997881755023
0.135955,1.82517139559106,89.9997758109799
0.1434525,1.92583687895474,89.9997634459239
0.15095,2.02650443877904,89.9997510803195
0.1584475,2.12717418365623,89.9997387141491
0.165945,2.22784622218549,89.9997263473944
0.1734425,2.3285206629747,89.9997139800345
0.18094,2.42919761464146,89.9997016120485
0.1884375,2.52987718581378,89.9996892434141
0.195935,2.63055948513072,89.9996768741083
0.2034325,2.73124462124288,89.9996645041075
0.21093,2.8319327028129,89.9996521333876
0.2184275,2.93262383851599,89.9996397619239
0.225925,3.0333181370404,89.9996273896914
0.2334225,3.13401570708787,89.9996150166645
0.24092,3.2347166573741,89.9996026428177
0.2484175,3.33542109662928,89.9995902681246
0.255915,3.43612913359847,89.9995778925591
0.2634125,3.53684087704216,89.9995655160945
0.27091,3.63755643573666,89.9995531387036
0.2784075,3.7382759184746,89.9995407603595
0.285905,3.83899943406543,89.9995283810346
0.2934025,3.93972709133582,89.9995160007015
0.3009,4.04045899913018,89.999503619332
0.3083975,4.14119526631112,89.9994912368983
0.315895,4.24193600175987,89.9994788533718
0.3233925,4.34268131437684,89.9994664687241
0.33089,4.44343131308198,89.9994540829264
0.3383875,4.54418610681535,89.9994416959497
0.345885,4.6449458045375,89.9994293077648
0.3533825,4.74571051522999,89.9994169183423
0.36088,4.84648034789586,89.9994045276527
0.3683775,4.94725541156007,89.9993921356658
0.375875,5.04803581526999,89.9993797423518
0.3833725,5.14882166809586,89.9993673476803
0.39087,5.24961307913127,89.9993549516209
0.3983675,5.3504101574936,89.9993425541426
0.405865,5.45121301232455,89.9993301552147
0.4133625,5.55202175279053,89.9993177548059
0.42086,5.6528364880832,89.9993053528848
0.4283575,5.7536573274199,89.9992929494196
0.435855,5.85448438004413,89.9992805443786
0.4433525,5.95531775522604,89.9992681377297
0.45085,6.05615756226287,89.9992557294404
0.4583475,6.15700391047944,89.9992433194781
0.465845,6.25785690922863,89.99923090781
0.4733425,6.35871666789182,89.9992184944031
0.48084,6.4595832958794,89.9992060792239
0.4883375,6.56045690263122,89.999193662239
0.495835,6.66133759761706,89.9991812434145
0.5033325,6.76222549033713,89.9991688227164
0.51083,6.86312069032252,89.9991564001103
0.5183275,6.96402330713566,89.9991439755617
0.525825,7.06493345037084,89.9991315490357
0.5333225,7.16585122965464,89.9991191204973
0.54082,7.26677675464644,89.999106689911
0.5483175,7.36771013503886,89.9990942572413
0.555815,7.46865148055826,89.9990818224524
0.5633125,7.56960090096521,89.9990693855082
0.57081,7.67055850605498,89.9990569463721
0.5783075,7.77152440565797,89.9990445050075
0.585805,7.87249870964025,89.9990320613777
0.5933025,7.97348152790399,89.9990196154453
0.6008,8.07447297038796,89.9990071671729
0.6082975,8.17547314706801,89.9989947165228
0.615795,8.27648216795751,89.998982263457
0.6232925,8.37750014310791,89.9989698079371
0.63079,8.47852718260911,89.9989573499249
0.6382875,8.57956339659006,89.9989448893812
0.645785,8.68060889521912,89.9989324262671
0.6532825,8.78166378870465,89.9989199605433
0.66078,8.8827281872954,89.9989074921701
0.6682775,8.98380220128105,89.9988950211075
0.675775,9.08488594099269,89.9988825473155
0.6832725,9.18597951680325,89.9988700707536
0.69077,9.28708303912804,89.998857591381
0.6982675,9.3881966184252,89.9988451091568
0.705765,9.48932036519621,89.9988326240397
0.7132625,9.59045438998636,89.998820135988
0.72076,9.69159880338522,89.9988076449601
0.7282575,9.79275371602712,89.9987951509137
0.735755,9.89391923859171,89.9987826538067
0.7432525,9.99509548180434,89.9987701535962
0.75075,10.0962825564366,89.9987576502393
0.7582475,10.1974805733069,89.998745143693
0.765745,10.2986896432807,89.9987326339138
0.7732425,10.3999098772712,89.9987201208579
0.78074,10.5011413862399,89.9987076044813
0.7882375,10.6023842811969,89.9986950847398
0.795735,10.7036386732015,89.9986825615889
0.8032325,10.8049046733626,89.9986700349838
0.81073,10.9061823928393,89.9986575048794
0.8182275,11.0074719428412,89.9986449712304
0.825725,11.1087734346293,89.9986324339913
0.8332225,11.2100869795161,89.9986198931163
0.84072,11.311412688866,89.9986073485592
0.8482175,11.4127506740964,89.9985948002737
0.855715,11.5141010466775,89.9985822482133
0.8632125,11.6154639181332,89.9985696923311
0.87071,11.7168394000416,89.9985571325799
0.8782075,11.8182276040352,89.9985445689126
0.885705,11.9196286418018,89.9985320012816
0.8932025,12.0210426250845,89.9985194296389
0.9007,12.1224696656829,89.9985068539366
0.9081975,12.2239098754528,89.9984942741264
