"Freq [GHz]","sqrt(2)*sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
0.001,0.00537317458233216
0.0084975,0.0456584421800976
0.015995,0.0859432019082257
0.0234925,0.126227005497268
0.03099,0.166509408072641
0.0384875,0.206789959982986
0.045985,0.247068214422197
0.0534825,0.287343723974308
0.06098,0.327616041777137
0.0684775,0.367884720563385
0.075975,0.408149313388011
0.0834725,0.448409374503083
0.09097,0.488664456864182
0.0984675,0.528914115440401
0.105965,0.569157902223211
0.1134625,0.609395375837094
0.12096,0.649626088066028
0.1284575,0.689849595196647
0.135955,0.730065452880829
0.1434525,0.77027321736249
0.15095,0.810472445351915
0.1584475,0.850662693648808
0.165945,0.890843520133918
0.1734425,0.931014482744722
0.18094,0.971175140335916
0.1884375,1.0113250519813
0.195935,1.05146377741246
0.2034325,1.09159087724908
0.21093,1.1317059124586
0.2184275,1.17180844465326
0.225925,1.21189803643813
0.2334225,1.25197425089747
0.24092,1.29203665189466
0.2484175,1.33208480385968
0.255915,1.37211827240661
0.2634125,1.41213662375803
0.27091,1.45213942475006
0.2784075,1.49212624337929
0.285905,1.53209664834294
0.2934025,1.57205020928305
0.3009,1.6119864968655
0.3083975,1.65190508247033
0.315895,1.69180553861749
0.3233925,1.73168743865369
0.33089,1.77155035720602
0.3383875,1.81139386962763
0.345885,1.85121755244334
0.3533825,1.89102098329523
0.36088,1.93080374090305
0.3683775,1.97056540509987
0.375875,2.01030555672238
0.3833725,2.05002377798279
0.39087,2.08971965213918
0.3983675,2.12939276369892
0.405865,2.16904269827384
0.4133625,2.20866904297322
0.42086,2.24827138591813
0.4283575,2.28784931660098
0.435855,2.32740242574773
0.4433525,2.36693030562263
0.45085,2.40643254958106
0.4583475,2.44590875247398
0.465845,2.48535851051417
0.4733425,2.52478142127123
0.48084,2.56417708380496
0.4883375,2.60354509858857
0.495835,2.64288506748924
0.5033325,2.68219659392339
