Frequency [GHz],Electric Dipole Moment (m_e) [A·m],Magnetic Dipole Moment (m_m) [V/m]
0.001,4.480296176940566e-10,7.112881195431107e-06
0.004002002002002002,4.220515399635957e-09,1.675458710037497e-05
0.007004004004004004,1.739718339657597e-08,3.946588888345264e-05
0.010006006006006006,4.322726136788768e-08,6.864419078681419e-05
0.013008008008008009,7.239098981140035e-08,8.842802842395346e-05
0.016010010010010012,1.1471755901445149e-07,0.00011385716457136191
0.01901201201201201,1.5889328020376063e-07,0.0001328016575545379
0.022014014014014014,2.14593686902118e-07,0.00015489828582257258
0.025016016016016017,2.782893074750762e-07,0.00017677035415937463
0.02801801801801802,3.482385556657811e-07,0.0001975023020583476
0.031020020020020023,4.306634661232919e-07,0.0002206124352919588
0.03402202202202202,5.151443453226753e-07,0.0002406045847859798
0.03702402402402402,6.114000589262324e-07,0.00026240843622594724
0.04002602602602603,7.151702082614628e-07,0.0002839249603089752
0.04302802802802803,8.255885867476581e-07,0.0003048943948223705
0.046030030030030034,9.482625399059183e-07,0.0003273595432971531
0.04903203203203203,1.07306737637617e-06,0.00034776442250043945
0.05203403403403404,1.209746618848998e-06,0.00036944115949374897
0.05503603603603604,1.353715913941796e-06,0.00039085798723738477
0.05803803803803804,1.504530640539074e-06,0.0004119334957448378
0.061040040040040044,1.6674702538209104e-06,0.00043409243844817524
0.06404204204204204,1.8325974680194824e-06,0.0004547167429433427
0.06704404404404404,2.009651547979689e-06,0.0004763209183818541
0.07004604604604604,2.193849158982707e-06,0.0004976938335388998
0.07304804804804806,2.3850234911499653e-06,0.0005188277073634094
0.07605005005005006,2.588224307924326e-06,0.0005408059832260022
0.07905205205205205,2.7936637476578896e-06,0.0005615649613222178
0.08205405405405405,3.011061416749724e-06,0.0005831207574017367
0.08505605605605605,3.2354899485654624e-06,0.0006044684433294486
0.08805805805805805,3.46699584859075e-06,0.0006256376897883497
0.09106006006006007,3.7104448885476507e-06,0.0006474952459864935
0.09406206206206207,3.9561808932219976e-06,0.00066834392106883
