"Phase [deg]","Freq [GHz]","elec_energy*0.5*8.8541878128e-12*2/(sqrt(re(Zo(waveport1:1))*(sqrt((1+re(S(waveport1:1,waveport1:1)))**2+im(S(waveport1:1,waveport1:1))**2))/(sqrt((1-re(S(waveport1:1,waveport1:1)))**2+im(S(waveport1:1,waveport1:1))**2))*(1-mag(S(waveport1:1,waveport1:1))**2)/cos(atan(im(S(waveport1:1,waveport1:1))/(1+re(S(waveport1:1,waveport1:1))))-atan((-im(S(waveport1:1,waveport1:1))/(1-re(S(waveport1:1,waveport1:1)))))))*sqrt(2))**2 []"
0,0.001,6.74694338994683E-12
0,0.104413793103448,6.74682431620917E-12
0,0.207827586206897,6.74652195576754E-12
0,0.311241379310345,6.74617023416945E-12
0,0.414655172413793,6.74595081575825E-12
0,0.518068965517241,6.74604124331735E-12
0,0.62148275862069,6.74656051477315E-12
0,0.724896551724138,6.74752471151136E-12
0,0.828310344827586,6.74882367794918E-12
0,0.931724137931034,6.75022571171077E-12
0,1.03513793103448,6.75141147791875E-12
0,1.13855172413793,6.75203234614802E-12
0,1.24196551724138,6.75178255874395E-12
0,1.34537931034483,6.75047085542114E-12
0,1.44879310344828,6.74807596437096E-12
0,1.55220689655172,6.74477265886746E-12
0,1.65562068965517,6.7409205285023E-12
0,1.75903448275862,6.73701510151786E-12
0,1.86244827586207,6.73360878842326E-12
0,1.96586206896552,6.73121545873357E-12
0,2.06927586206897,6.73021583646225E-12
0,2.17268965517241,6.73078116420501E-12
0,2.27610344827586,6.73282962056084E-12
0,2.37951724137931,6.73602499198811E-12
0,2.48293103448276,6.73982023776082E-12
0,2.58634482758621,6.743541282184E-12
0,2.68975862068966,6.74649876817119E-12
0,2.7931724137931,6.7481093358491E-12
0,2.89658620689655,6.74800451067531E-12
0,3,6.74610574877593E-12

