"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,3.49581360499695E-13
0.0084975,2.52362621557112E-11
0.015995,8.93565367163249E-11
0.0234925,1.92687642223906E-10
0.03099,3.35237271446506E-10
0.0384875,5.17005218068348E-10
0.045985,7.37989325122278E-10
0.0534825,9.98187791618677E-10
0.06098,1.29759853215158E-09
0.0684775,1.63621570527413E-09
0.075975,2.01402265147654E-09
0.0834725,2.43098015627045E-09
0.09097,2.88700878677153E-09
0.0984675,3.38196394580266E-09
0.105965,3.91655420245353E-09
0.1134625,4.49078118221216E-09
0.12096,5.1045476234382E-09
0.1284575,5.7579135399462E-09
0.135955,6.45094304480757E-09
0.1434525,7.18370439681593E-09
0.15095,7.95627004917505E-09
0.1584475,8.76871670031698E-09
0.165945,9.62112534675476E-09
0.1734425,1.05135813378712E-08
0.18094,1.1446174432542E-08
0.1884375,1.24189988574909E-08
0.195935,1.343215336727E-08
0.2034325,1.44857413057587E-08
0.21093,1.55798706690734E-08
0.2184275,1.67146541697766E-08
0.225925,1.78902093022776E-08
0.2334225,1.91066584093116E-08
0.24092,2.03641287493882E-08
0.2484175,2.16627525650977E-08
0.255915,2.30026671521661E-08
0.2634125,2.43840149291481E-08
0.27091,2.58069435076517E-08
0.2784075,2.72716057629865E-08
0.285905,2.87781599051302E-08
0.2934025,3.03267695499124E-08
0.3009,3.19176037903114E-08
0.3083975,3.35508372677682E-08
0.315895,3.52266502434202E-08
0.3233925,3.69452286691629E-08
0.33089,3.87067642584476E-08
0.3383875,4.05114545567306E-08
0.345885,4.23595030114886E-08
0.3533825,4.42511190417231E-08
0.36088,4.61865181068745E-08
0.3683775,4.81659217750784E-08
0.375875,5.01895577906911E-08
0.3833725,5.22576601410243E-08
0.39087,5.43704691222291E-08
0.3983675,5.65282314042708E-08
0.405865,5.87312000949483E-08
0.4133625,6.09796348029081E-08
0.42086,6.32738016996124E-08
0.4283575,6.56139735802247E-08
0.435855,6.80004299233779E-08
0.4433525,7.04334569497988E-08
0.45085,7.29133476797638E-08
0.4583475,7.54404019893673E-08
0.465845,7.80149266655882E-08
0.4733425,8.06372354601425E-08
0.48084,8.33076491421196E-08
0.4883375,8.60264955493961E-08
0.495835,8.87941096388339E-08
0.5033325,9.16108335352679E-08
0.51083,9.4477016579293E-08
0.5183275,9.73930153738688E-08
0.525825,1.00359193829757E-07
0.5333225,1.03375923209816E-07
0.54082,1.06443582172185E-07
0.5483175,1.09562556812371E-07
0.555815,1.12733240704296E-07
0.5633125,1.1595603494032E-07
0.57081,1.19231348170289E-07
0.5783075,1.2255959663966E-07
0.585805,1.25941204226726E-07
0.5933025,1.29376602479015E-07
0.6008,1.328662306489E-07
0.6082975,1.36410535728473E-07
0.615795,1.40009972483756E-07
0.6232925,1.43665003488285E-07
0.63079,1.47376099156143E-07
0.6382875,1.51143737774505E-07
