"Phase [deg]","Freq [GHz]","output_power []"
0,0.001,3.43183974789688E-10
0,0.035448275862069,1.20630723184664E-08
0,0.0698965517241379,5.2711989955614E-08
0,0.104344827586207,1.21822139265867E-07
0,0.138793103448276,2.19148421211301E-07
0,0.173241379310345,3.44440092210506E-07
0,0.207689655172414,4.97439201798967E-07
0,0.242137931034483,6.77884547866288E-07
0,0.276586206896552,8.85506903357773E-07
0,0.311034482758621,1.1200319473318E-06
0,0.34548275862069,1.38118075469608E-06
0,0.379931034482759,1.66866849786597E-06
0,0.414379310344828,1.98220296658844E-06
0,0.448827586206897,2.32149044856007E-06
0,0.483275862068966,2.68623321999424E-06
0,0.517724137931035,3.07612118881248E-06
0,0.552172413793103,3.49084558569162E-06
0,0.586620689655172,3.93008954870685E-06
0,0.621068965517241,4.39354184364739E-06
0,0.65551724137931,4.88087187841408E-06
0,0.689965517241379,5.39175200368423E-06
0,0.724413793103448,5.92585213813508E-06
0,0.758862068965517,6.48283951568114E-06
0,0.793310344827586,7.06237292398851E-06
0,0.827758620689655,7.66410467984315E-06
0,0.862206896551724,8.28769666598218E-06
0,0.896655172413793,8.93279393072162E-06
0,0.931103448275862,9.59904749422063E-06
0,0.965551724137931,1.02860927553917E-05
0,1,1.09935869997639E-05
0,1.10526315789474,1.32782843250074E-05
0,1.21052631578947,1.57399175242166E-05
0,1.31578947368421,1.83677314233372E-05
0,1.42105263157895,2.1150734672522E-05
0,1.52631578947368,2.40776867033975E-05
0,1.63157894736842,2.71370763843218E-05
0,1.73684210526316,3.03171191076888E-05
0,1.84210526315789,3.36057041200767E-05
0,1.94736842105263,3.69903614092173E-05
0,2.05263157894737,4.04583038323593E-05
0,2.1578947368421,4.3996284664611E-05
0,2.26315789473684,4.75906699290266E-05
0,2.36842105263158,5.12274250668552E-05
0,2.47368421052632,5.48921132640366E-05
0,2.57894736842105,5.85699033504422E-05
0,2.68421052631579,6.22456966285081E-05
0,2.78947368421053,6.59040961021124E-05
0,2.89473684210526,6.95295519919888E-05
0,3,7.31065047766492E-05

