"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,1.02648287304163E-13
0.0084975,7.41466066073335E-12
0.015995,2.62382602070032E-11
0.0234925,5.65661186960917E-11
0.03099,9.84120021947159E-11
0.0384875,1.51787902222472E-10
0.045985,2.16707233423462E-10
0.0534825,2.93185992554319E-10
0.06098,3.8124250278327E-10
0.0684775,4.80896026727827E-10
0.075975,5.92164047565082E-10
0.0834725,7.15057858325606E-10
0.09097,8.49576031351E-10
0.0984675,9.95695305036424E-10
0.105965,1.1539528953083E-09
0.1134625,1.32430971523119E-09
0.12096,1.50673746336689E-09
0.1284575,1.7013218594972E-09
0.135955,1.90815430546804E-09
0.1434525,2.12733192205396E-09
0.15095,2.35895758800187E-09
0.1584475,2.60313998124842E-09
0.165945,2.859993622305E-09
0.1734425,3.12963891980397E-09
0.18094,3.41220221820039E-09
0.1884375,3.70781584762254E-09
0.195935,4.01661817586513E-09
0.2034325,4.338753662519E-09
0.21093,4.67437291523101E-09
0.2184275,5.0236327480876E-09
0.225925,5.38669624211665E-09
0.2334225,5.763732807901E-09
0.24092,6.15491825029849E-09
0.2484175,6.56043483526274E-09
0.255915,6.98047135875933E-09
0.2634125,7.41522321777284E-09
0.27091,7.86489248340045E-09
0.2784075,8.32968797602667E-09
0.285905,8.80982534257703E-09
0.2934025,9.30552713584742E-09
0.3009,9.81702289590528E-09
0.3083975,1.03445492335614E-08
0.315895,1.08883499159114E-08
0.3233925,1.14486759539456E-08
0.33089,1.20257856922275E-08
0.3383875,1.26199449006412E-08
0.345885,1.32314268682107E-08
0.3533825,1.38605124989929E-08
0.36088,1.45074904100474E-08
0.3683775,1.51726570314894E-08
0.375875,1.58563167086287E-08
0.3833725,1.65587818062048E-08
0.39087,1.72803728147232E-08
0.3983675,1.80214184589038E-08
0.405865,1.87822558082518E-08
0.4133625,1.95632303897608E-08
0.42086,2.03646963027661E-08
0.4283575,2.11870163359568E-08
0.435855,2.20305620865684E-08
0.4433525,2.289571408177E-08
0.45085,2.37828619022681E-08
0.4583475,2.46924043081459E-08
0.465845,2.56247493669631E-08
0.4733425,2.65803145841407E-08
0.48084,2.75595270356553E-08
0.4883375,2.85628235030747E-08
0.495835,2.95906506109633E-08
0.5033325,3.06434649666909E-08
0.51083,3.17217333026798E-08
0.5183275,3.28259326211267E-08
0.525825,3.39565503412392E-08
0.5333225,3.51140844490292E-08
0.54082,3.62990436497059E-08
0.5483175,3.75119475227169E-08
0.555815,3.87533266794852E-08
0.5633125,4.00237229238932E-08
0.57081,4.13236894155687E-08
0.5783075,4.26537908360352E-08
0.585805,4.40146035577745E-08
0.5933025,4.54067158162778E-08
0.6008,4.68307278851415E-08
0.6082975,4.8287252254282E-08
0.615795,4.97769138113405E-08
0.6232925,5.13003500263492E-08
0.63079,5.28582111397432E-08
0.6382875,5.44511603537957E-08
0.645785,5.60798740275645E-08
0.6532825,5.77450418754342E-08
0.66078,5.94473671693516E-08
0.6682775,6.11875669448479E-08
0.675775,6.29663722109442E-08
0.6832725,6.47845281640508E-08
0.69077,6.66427944059624E-08
0.6982675,6.85419451660583E-08
0.705765,7.04827695278318E-08
0.7132625,7.24660716598607E-08
0.72076,7.44926710513452E-08
0.7282575,7.65634027523429E-08
0.735755,7.8679117618829E-08
0.7432525,8.08406825627296E-08
0.75075,8.30489808070529E-08
0.7582475,8.53049121462848E-08
0.765745,8.7609393212184E-08
0.7732425,8.99633577451434E-08
0.78074,9.23677568712748E-08
0.7882375,9.48235593853861E-08
0.795735,9.73317520400216E-08
0.8032325,9.98933398407469E-08
0.81073,1.02509346347852E-07
0.8182275,1.05180813984678E-07
0.825725,1.07908804352749E-07
0.8332225,1.10694398553907E-07
