"Freq [GHz]","output_power []"
0.001,4.51533955817241E-10
0.0262016806722689,1.20788681745036E-09
0.0514033613445378,5.88554734403609E-09
0.0766050420168067,1.40597866719867E-08
0.101806722689076,2.57005862514507E-08
0.127008403361345,4.07786450366337E-08
0.152210084033613,5.9265246286524E-08
0.177411764705882,8.11318449079553E-08
0.202613445378151,1.06350250590242E-07
0.22781512605042,1.34893053003354E-07
0.253016806722689,1.66732245137358E-07
0.278218487394958,2.01841369648314E-07
0.303420168067227,2.40193497691916E-07
0.328621848739496,2.81761948983854E-07
0.353823529411765,3.26521165334847E-07
0.379025210084034,3.74444944416531E-07
0.404226890756303,4.25507852120614E-07
0.429428571428571,4.79684579818873E-07
0.45463025210084,5.36950241586265E-07
0.479831932773109,5.9728020430576E-07
0.505033613445378,6.60650588483834E-07
0.530235294117647,7.27036519000363E-07
0.555436974789916,7.96414020340429E-07
0.580638655462185,8.68761258447944E-07
0.605840336134454,9.44052453175982E-07
0.631042016806723,1.02226543381098E-06
0.656243697478992,1.10337779661146E-06
0.68144537815126,1.18736794423007E-06
0.70664705882353,1.27421119478771E-06
0.731848739495798,1.36388563951877E-06
0.757050420168067,1.45637119735094E-06
0.782252100840336,1.55164466766526E-06
0.807453781512605,1.64968507039646E-06
0.832655462184874,1.75047131357951E-06
0.857857142857143,1.85398178549353E-06
0.883058823529412,1.96019686664819E-06
0.908260504201681,2.06909405204069E-06
0.93346218487395,2.18065350107109E-06
0.958663865546219,2.29485624456141E-06
0.983865546218487,2.4116824055519E-06
1.00906722689076,2.53110970464129E-06
1.03426890756303,2.65312015137918E-06
1.05947058823529,2.77769416034881E-06
1.08467226890756,2.90481289315401E-06
1.10987394957983,3.03445468850062E-06
1.1350756302521,3.16660469111231E-06
1.16027731092437,3.30124089288154E-06
1.18547899159664,3.43834518439346E-06
1.21068067226891,3.57789892173155E-06
1.23588235294118,3.7198853975387E-06
1.26108403361345,3.86428539081597E-06
1.28628571428571,4.01108130955336E-06
1.31148739495798,4.16025261663174E-06
1.33668907563025,4.31178369437208E-06
1.36189075630252,4.46565614161721E-06
1.38709243697479,4.62185268956711E-06
1.41229411764706,4.78035578767571E-06
1.43749579831933,4.94114858920932E-06
1.4626974789916,5.10421261672248E-06
1.48789915966387,5.26952883944636E-06
1.51310084033613,5.43708174122994E-06
1.5383025210084,5.6068550836787E-06
1.56350420168067,5.77883055835093E-06
1.58870588235294,5.95299323846839E-06
1.61390756302521,6.12932063024644E-06
1.63910924369748,6.30779909482742E-06
1.66431092436975,6.4884116126349E-06
1.68951260504202,6.67113912183976E-06
1.71471428571429,6.8559667861714E-06
1.73991596638655,7.04287994190474E-06
1.76511764705882,7.23185393138722E-06
1.79031932773109,7.42287387791262E-06
1.81552100840336,7.61592791980598E-06
1.84072268907563,7.81099332821743E-06
1.8659243697479,8.00805145794939E-06
1.89112605042017,8.20709004142502E-06
1.91632773109244,8.40808864381722E-06
1.94152941176471,8.61102422368691E-06
1.96673109243697,8.81589199976299E-06
1.99193277310924,9.02266124773047E-06
2.01713445378151,9.23131760256308E-06
2.04233613445378,9.44185072065094E-06
2.06753781512605,9.65422779061613E-06
2.09273949579832,9.86844211729816E-06
2.11794117647059,1.00844702268322E-05
2.14314285714286,1.03022932562186E-05
2.16834453781513,1.05218940354402E-05
2.19354621848739,1.07432549206571E-05
2.21874789915966,1.09663506785508E-05
2.24394957983193,1.11911661506067E-05
2.2691512605042,1.14176796043969E-05
2.29435294117647,1.16458781189534E-05
2.31955462184874,1.18757333293736E-05
2.34475630252101,1.21072324673952E-05
2.36995798319328,1.2340350228503E-05
2.39515966386555,1.25750647977153E-05
2.42036134453781,1.281136115282E-05
2.44556302521008,1.30492162587419E-05
2.47076470588235,1.3288606653603E-05
2.49596638655462,1.35295203847528E-05
2.52116806722689,1.37719277860782E-05
2.54636974789916,1.40158134168927E-05
2.57157142857143,1.42611524885849E-05
2.5967731092437,1.4507927748684E-05
2.62197478991597,1.47561162710199E-05
2.64717647058824,1.50056984242137E-05
2.6723781512605,1.5256651253321E-05
2.69757983193277,1.55089534725232E-05
2.72278151260504,1.57625876968575E-05
2.74798319327731,1.60175342106572E-05
2.77318487394958,1.62737685888827E-05
2.79838655462185,1.65312698322363E-05
2.82358823529412,1.67900230681554E-05
2.84878991596639,1.70500073996993E-05
2.87399159663866,1.73112018881613E-05
2.89919327731092,1.75735882837012E-05
2.92439495798319,1.78371522107523E-05
2.94959663865546,1.81018634326855E-05
2.97479831932773,1.83677155007705E-05
3,1.86346998752639E-05

