"Freq [GHz]","output_power []"
0.001,-3.7791994991756E-12
0.0262016806722689,1.63132671335268E-12
0.0514033613445378,1.45906217559018E-11
0.0766050420168067,3.80234046427517E-11
0.101806722689076,7.10268930970545E-11
0.127008403361345,1.13220584424705E-10
0.152210084033613,1.64318795485028E-10
0.177411764705882,2.24102228792866E-10
0.202613445378151,2.9241220957009E-10
0.22781512605042,3.69139307694605E-10
0.253016806722689,4.54217631779232E-10
0.278218487394958,5.47606757297308E-10
0.303420168067227,6.49288914118078E-10
0.328621848739496,7.59256102487373E-10
0.353823529411765,8.77512873900853E-10
0.379025210084034,1.00406779092795E-09
0.404226890756303,1.13893128921109E-09
0.429428571428571,1.28212020943018E-09
0.45463025210084,1.43365049900372E-09
0.479831932773109,1.5935354336422E-09
0.505033613445378,1.76180277460535E-09
0.530235294117647,1.93846540116105E-09
0.555436974789916,2.12355384756297E-09
0.580638655462185,2.31709225318289E-09
0.605840336134454,2.51910531877458E-09
0.631042016806723,2.72962606127982E-09
0.656243697478992,2.94867729065783E-09
0.68144537815126,3.17630826288528E-09
0.70664705882353,3.41254146185822E-09
0.731848739495798,3.65742166220254E-09
0.757050420168067,3.91099533267101E-09
0.782252100840336,4.17330204113311E-09
0.807453781512605,4.44440140833742E-09
0.832655462184874,4.72433365863538E-09
0.857857142857143,5.01316631017074E-09
0.883058823529412,5.31094365420378E-09
0.908260504201681,5.61772532015607E-09
0.93346218487395,5.93362108002058E-09
0.958663865546219,6.25863228410071E-09
0.983865546218487,6.59286934059215E-09
1.00906722689076,6.93640307132971E-09
1.03426890756303,7.28933370333917E-09
1.05947058823529,7.65172508883486E-09
1.08467226890756,8.02369382194683E-09
1.10987394957983,8.40530089288428E-09
1.1350756302521,8.79657468324463E-09
1.16027731092437,9.19777913732647E-09
1.18547899159664,9.60895382488373E-09
1.21068067226891,1.00301825600442E-08
1.23588235294118,1.0461614536881E-08
1.26108403361345,1.09033575667063E-08
1.28628571428571,1.13554551175244E-08
1.31148739495798,1.18182288883452E-08
1.33668907563025,1.22917256042592E-08
1.36189075630252,1.27760965806197E-08
1.38709243697479,1.32714846297906E-08
1.41229411764706,1.37780622663651E-08
1.43749579831933,1.4295874732555E-08
1.4626974789916,1.48253560498664E-08
1.48789915966387,1.5366514699498E-08
1.51310084033613,1.59196166675421E-08
1.5383025210084,1.64848022031484E-08
1.56350420168067,1.70623421197869E-08
1.58870588235294,1.76522591836185E-08
1.61390756302521,1.8255068584424E-08
1.63910924369748,1.88709094080684E-08
1.66431092436975,1.94999953514227E-08
1.68951260504202,2.01425702125922E-08
1.71471428571429,2.07989684637353E-08
1.73991596638655,2.14692621126121E-08
1.76511764705882,2.21541134236626E-08
1.79031932773109,2.28536110454772E-08
1.81552100840336,2.35681504420101E-08
1.84072268907563,2.42980284068288E-08
1.8659243697479,2.5043620660693E-08
1.89112605042017,2.58050850672254E-08
1.91632773109244,2.65832569883702E-08
1.94152941176471,2.73783060302958E-08
1.96673109243697,2.81906457086453E-08
1.99193277310924,2.90207815709597E-08
2.01713445378151,2.98691698351189E-08
2.04233613445378,3.07361159106024E-08
2.06753781512605,3.16224610726522E-08
2.09273949579832,3.25286855634842E-08
2.11794117647059,3.34552973748919E-08
2.14314285714286,3.44029235076256E-08
2.16834453781513,3.53721472343217E-08
2.19354621848739,3.63635800318836E-08
2.21874789915966,3.73783084119986E-08
2.24394957983193,3.84167631754595E-08
2.2691512605042,3.94798616289495E-08
2.29435294117647,4.05683938120652E-08
2.31955462184874,4.16833504171867E-08
2.34475630252101,4.28255011289684E-08
2.36995798319328,4.39960674390902E-08
2.39515966386555,4.51960290655769E-08
2.42036134453781,4.64266206281687E-08
2.44556302521008,4.76888700363112E-08
2.47076470588235,4.89843970403422E-08
2.49596638655462,5.031422498744E-08
2.52116806722689,5.16801955649092E-08
2.54636974789916,5.30836802278136E-08
2.57157142857143,5.45265436606183E-08
2.5967731092437,5.60106548923929E-08
2.62197478991597,5.75378719463468E-08
2.64717647058824,5.91106171889158E-08
2.6723781512605,6.07309457966814E-08
2.69757983193277,6.24016092834968E-08
2.72278151260504,6.41251757990892E-08
2.74798319327731,6.59049204948909E-08
2.77318487394958,6.77439656980357E-08
2.79838655462185,6.96463671901935E-08
2.82358823529412,7.16154660156175E-08
2.84878991596639,7.36559224067487E-08
2.87399159663866,7.57726314789075E-08
2.89919327731092,7.79710116187805E-08
2.92439495798319,8.02572839534253E-08
2.94959663865546,8.26389131039742E-08
2.97479831932773,8.51222276801772E-08
3,8.77170040504005E-08

