"Freq [GHz]","output_power []"
0.001,4.9112876573707E-12
0.104413793103448,3.77773486710895E-09
0.207827586206897,1.48981319395983E-08
0.311241379310345,3.33760788367034E-08
0.414655172413793,5.92089897612687E-08
0.518068965517241,9.23923745153507E-08
0.62148275862069,1.32919951073454E-07
0.724896551724138,1.80783853325424E-07
0.828310344827586,2.35976626999961E-07
0.931724137931034,2.98491433920563E-07
1.03513793103448,3.68323231201145E-07
1.13855172413793,4.45470543971265E-07
1.24196551724138,5.29935930353857E-07
1.34537931034483,6.21726683672853E-07
1.44879310344828,7.20856199569403E-07
1.55220689655172,8.27343452687942E-07
1.65562068965517,9.41212384900907E-07
1.75903448275862,1.06249263024603E-06
1.86244827586207,1.19121672240578E-06
1.96586206896552,1.32741958687522E-06
2.06927586206897,1.47113722113199E-06
2.17268965517241,1.62240164320345E-06
2.27610344827586,1.78124268342043E-06
2.37951724137931,1.94768180885937E-06
2.48293103448276,2.12173278414307E-06
2.58634482758621,2.30339844747079E-06
2.68975862068966,2.49266886593207E-06
2.7931724137931,2.68952279608834E-06
2.89658620689655,2.89392486876345E-06
3,3.10583267271293E-06

