"Freq [GHz]","output_power []"
0.001,9.14135305247818E-12
0.104413793103448,6.01564824408189E-08
0.207827586206897,2.37121725676719E-07
0.311241379310345,5.30918887797099E-07
0.414655172413793,9.41545643664629E-07
0.518068965517241,1.4690245571263E-06
0.62148275862069,2.11340649053047E-06
0.724896551724138,2.87472114229437E-06
0.828310344827586,3.75303163302275E-06
0.931724137931034,4.74841572061978E-06
1.03513793103448,5.86099637433433E-06
1.13855172413793,7.09086981743186E-06
1.24196551724138,8.43815632771994E-06
1.34537931034483,9.90300594949329E-06
1.44879310344828,1.14855055231144E-05
1.55220689655172,1.31857996547288E-05
1.65562068965517,1.50039225849609E-05
1.75903448275862,1.69398694357741E-05
1.86244827586207,1.89936191944568E-05
1.96586206896552,2.11650847124355E-05
2.06927586206897,2.34540165699705E-05
2.17268965517241,2.58601021898899E-05
2.27610344827586,2.83829758538828E-05
2.37951724137931,3.10222193921078E-05
2.48293103448276,3.37772272698449E-05
2.58634482758621,3.66475605554812E-05
2.68975862068966,3.96325771025347E-05
2.7931724137931,4.27318657755695E-05
2.89658620689655,4.59449394125234E-05
3,4.9271549541179E-05

