"Freq [GHz]","ang_rad(S(waveport2,antenna)) [rad]","ang_rad(S(waveport1,antenna)) [rad]"
0.001,1.56996289958672,1.56951899950817
0.0084975,1.5637136493907,1.55994286122194
0.015995,1.55746443565809,1.55036664253374
0.0234925,1.55121514132538,1.54079043994574
0.03099,1.54496574269757,1.53121424828506
0.0384875,1.53871620742976,1.52163806745645
0.045985,1.53246650225753,1.51206189889275
0.0534825,1.52621659382914,1.50248574430996
0.06098,1.51996644877757,1.49290960528284
0.0684775,1.51371603373442,1.48333348310895
0.075975,1.50746531535228,1.473757378767
0.0834725,1.50121426029977,1.46418129287002
0.09097,1.49496283523258,1.45460522559975
0.0984675,1.48871100677484,1.44502917665231
0.105965,1.48245878523061,1.43545315523312
0.1134625,1.47620610366788,1.42587716618274
0.12096,1.4699529188257,1.41630121025631
0.1284575,1.46369919888377,1.40672528950475
0.135955,1.45744491205085,1.39714940600326
0.1434525,1.45119002660235,1.38757356184531
0.15095,1.44493451090911,1.37799775913864
0.1584475,1.43867833346032,1.36842200000225
0.165945,1.43242146288238,1.35884628656438
0.1734425,1.42616386795498,1.34927062096094
0.18094,1.41990551762506,1.33969500533449
0.1884375,1.4136463810193,1.33011944183338
0.195935,1.40738642745553,1.32054393261119
0.2034325,1.40112562645323,1.31096847982635
0.21093,1.39486394774343,1.30139308564179
0.2184275,1.38860136127799,1.29181775222481
0.225925,1.38233783723854,1.28224248174697
0.2334225,1.37607334604504,1.27266727638398
0.24092,1.36980785836398,1.26309213831576
0.2484175,1.36354134511645,1.25351706972647
0.255915,1.35727377748581,1.24394207280456
0.2634125,1.35100512692531,1.2343671497429
0.27091,1.34473536516545,1.22479230273891
0.2784075,1.33846446422112,1.21521753399469
0.285905,1.33219239639869,1.20564284571721
0.2934025,1.32591913430285,1.1960682401185
0.3009,1.3196446508433,1.18649371941584
0.3083975,1.31336891924137,1.17691928583199
0.315895,1.30709191303642,1.16734494159545
0.3233925,1.3008136060921,1.15777068894064
0.33089,1.29453397260255,1.14819653010826
0.3383875,1.28825298709835,1.13862246734545
0.345885,1.28197062445242,1.12904850290618
0.3533825,1.27568685988573,1.11947463905145
0.36088,1.26940166897288,1.10990087804969
0.3683775,1.26311502764759,1.10032722217701
0.375875,1.25682691220799,1.09075367371753
0.3833725,1.25053729932177,1.08118023496376
0.39087,1.24424616603127,1.07160690821693
0.3983675,1.23795348975833,1.06203369578734
0.405865,1.23165924830906,1.0524605999947
0.4133625,1.22536341987847,1.04288762316859
0.42086,1.21906598305493,1.03331476764877
0.4283575,1.21276691682449,1.02374203578559
0.435855,1.20646620057512,1.01416942994044
0.4433525,1.20016381410069,1.00459695248611
0.45085,1.19385973760492,0.995024605807251
0.4583475,1.18755395170513,0.985452392300787
0.465845,1.18124643743587,0.975880314376365
0.4733425,1.17493717625237,0.966308374456804
0.48084,1.16862615003386,0.956736574978556
0.4883375,1.1623133410868,0.947164918392156
0.495835,1.15599873214788,0.937593407162721
0.5033325,1.14968230638691,0.92802204377041
0.51083,1.1433640474096,0.918450830710921
0.5183275,1.13704393926013,0.908879770495995
0.525825,1.1307219664236,0.899308865653906
0.5333225,1.1243981138284,0.889738118729982
0.54082,1.11807236684828,0.880167532287115
0.5483175,1.11174471130446,0.870597108906291
0.555815,1.10541513346743,0.861026851187116
0.5633125,1.09908362005874,0.851456761748355
0.57081,1.09275015825254,0.841886843228469
0.5783075,1.08641473567702,0.832317098286165
0.585805,1.08007734041573,0.822747529600948
0.5933025,1.07373796100869,0.813178139873678
0.6008,1.06739658645344,0.803608931827135
0.6082975,1.06105320620586,0.794039908206573
0.615795,1.0547078101809,0.784471071780306
0.6232925,1.04836038875318,0.774902425340275
0.63079,1.04201093275738,0.765333971702618
0.6382875,1.03565943348855,0.755765713708265
0.645785,1.02930588270227,0.746197654223508
0.6532825,1.02295027261464,0.73662979614059
0.66078,1.01659259590217,0.7270621423783
0.6682775,1.01023284570148,0.717494695882551
0.675775,1.00387101560892,0.707927459626978
0.6832725,0.997507099680005,0.698360436613529
0.69077,0.991141092428729,0.688793629873054
0.6982675,0.984772988826761,0.679227042465903
0.705765,0.978402784302473,0.669660677482516
0.7132625,0.972030474739858,0.660094538044017
0.72076,0.965656056477297,0.650528627302799
0.7282575,0.959279526306205,0.640962948443131
0.735755,0.95290088146954,0.631397504681724
0.7432525,0.946520119660187,0.621832299268347
0.75075,0.940137239019191,0.61226733548638
0.7582475,0.933752238133897,0.602702616653425
0.765745,0.927365116035921,0.593138146121872
0.7732425,0.920975872199023,0.583573927279472
0.78074,0.914584506536846,0.57400996354992
0.7882375,0.908191019400522,0.564446258393414
0.795735,0.901795411576165,0.554882815307226
0.8032325,0.895397684282228,0.545319637826263
0.81073,0.888997839166759,0.535756729523602
0.8182275,0.882595878304511,0.526194094011064
0.825725,0.876191804193949,0.51663173493974
0.8332225,0.869785619754139,0.507069656000528
0.84072,0.863377328321507,0.497507860924671
0.8482175,0.856966933646502,0.487946353484266
0.855715,0.850554439890118,0.478385137492784
0.8632125,0.844139851620333,0.468824216805579
0.87071,0.837723173808409,0.459263595320383
0.8782075,0.831304411825099,0.449703276977794
0.885705,0.824883571436737,0.440143265761757
0.8932025,0.818460658801217,0.430583565700037
0.9007,0.812035680463881,0.421024180864676
0.9081975,0.805608643353275,0.411465115372449
0.915695,0.799179554776829,0.401906373385298
0.9231925,0.792748422416419,0.39234795911077
0.93069,0.786315254323825,0.382789876802427
0.9381875,0.779880058916098,0.373232130760257
0.945685,0.773442844970837,0.363674725331073
0.9531825,0.767003621621346,0.35411766490889
0.96068,0.760562398351708,0.3445609539353
0.9681775,0.754119184991778,0.335004596899827
0.975675,0.747673991712063,0.325448598340274
0.9831725,0.741226829018525,0.315892962843052
0.99067,0.73477770774729,0.306337695043503
0.9981675,0.728326639059273,0.296782799626204
1.005665,0.721873634434714,0.287228281325247
1.0131625,0.715418705667634,0.277674144924526
1.02066,0.708961864860208,0.268120395257993
1.0281575,0.70250312441705,0.258567037209902
1.035655,0.696042497039437,0.249014075715046
1.0431525,0.68957999571944,0.239461515758962
1.05065,0.68311563373398,0.22990936237814
1.0581475,0.676649424638823,0.220357620660202
1.065645,0.670181382262497,0.210806295744064
1.0731425,0.663711520700128,0.201255392820101
1.08064,0.657239854307235,0.191704917130267
1.0881375,0.650766397693429,0.182154873968222
1.095635,0.644291165716068,0.172605268679429
1.1031325,0.637814173473839,0.163056106661238
1.11063,0.631335436300298,0.15350739336296
1.1181275,0.624854969757325,0.143959134285912
1.125625,0.618372789628563,0.134411334983467
1.1331225,0.611888911912812,0.124864001061119
1.14062,0.605403352817719,0.115317138176848
1.1481175,0.598916128908455,0.105770752196537
1.155615,0.592427256310342,0.0962248484033448
1.1631125,0.585936752300066,0.0866794330957037
1.17061,0.579444633685605,0.0771345119740645
1.1781075,0.572950917614482,0.0675900909559665
1.185605,0.566455621400971,0.058046176010125
1.1931025,0.5599587625195,0.0485027731566822
1.2006,0.553460358597657,0.0389598884671259
1.2080975,0.546960427409125,0.0294175280641237
1.215595,0.540458986866578,0.0198756981213461
1.2230925,0.533956055014556,0.0103344048632676
1.23059,0.527451650022282,0.000793654564933956
1.2380875,0.520945790176489,-0.00874654644826704
1.245585,0.514438493874196,-0.0182861918008776
1.2530825,0.507929779615477,-0.0278252750676401
1.26058,0.501419665996214,-0.0373637897737911
1.2680775,0.494908171700809,-0.0469017293953925
1.275575,0.488395315494925,-0.0564390873596457
1.2830725,0.481881116218167,-0.0659758570452574
1.29057,0.475365592776794,-0.0755120317828032
1.2980675,0.468848764136394,-0.0850476048551196
1.305565,0.462330649314566,-0.094582569497709
1.3130625,0.455811267373609,-0.104116918899158
1.32056,0.449290637413187,-0.113650646201588
1.3280575,0.442768778563012,-0.123183744501114
1.335555,0.436245709975528,-0.132716206848312
1.3430525,0.429721450818602,-0.142248026248729
1.35055,0.423196020268213,-0.15177919566338
1.3580475,0.416669437501166,-0.161309708009286
1.365545,0.410141721687809,-0.170839556160019
1.3730425,0.40361289198477,-0.180368732946261
1.38054,0.39708296752771,-0.189897231156387
1.3880375,0.390551967424087,-0.199425043537056
1.395535,0.384019910745968,-0.208952162793832
1.4030325,0.377486816522823,-0.218478581591803
1.41053,0.370952703734388,-0.228004292556229
