"Freq [GHz]","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))_1 []"
0.001,-89.9999964434904,1157.91638535838
0.0084975,-90.0001735692422,137.046504063766
0.015995,-89.9998544200236,72.8115282845117
0.0234925,-89.999873862156,49.5746529293365
0.03099,-89.9998651846321,37.5810000933252
0.0384875,-89.9998490930161,30.2600703980364
0.045985,-89.9998295421314,25.3263442292557
0.0534825,-89.9998078456738,21.7758743943131
0.06098,-89.9997845424498,19.0984501671781
0.0684775,-89.9997598690869,17.0073078654367
0.075975,-89.9997339225463,15.3288787703147
0.0834725,-89.9997067274094,13.9519536122283
0.09097,-89.999678267495,12.801985227849
0.0984675,-89.9996485021492,11.827131012361
0.105965,-89.9996209189254,10.9902216884552
0.1134625,-89.9995941028783,10.2639110142257
0.12096,-89.9995672852007,9.62763304761163
0.1284575,-89.9995404659374,9.06562334801142
0.135955,-89.9995136451081,8.56559491675316
0.1434525,-89.9994868227182,8.11782946038421
0.15095,-89.9994599987546,7.7145394695466
0.1584475,-89.9994331731989,7.34941141302699
0.165945,-89.9994063460201,7.01727277805246
0.1734425,-89.9993795171865,6.71384573769548
0.18094,-89.9993526866551,6.43555952269294
0.1884375,-89.9993258543864,6.17941551842405
0.195935,-89.9992990203311,5.9428707733346
0.2034325,-89.999272184442,5.72375840165524
0.21093,-89.999245346668,5.52021951791618
0.2184275,-89.9992185069566,5.3306504511766
0.225925,-89.9991916652544,5.15366040454721
0.2334225,-89.9991648215072,4.98803726921631
0.24092,-89.9991379756595,4.83271982075918
0.2484175,-89.9991111276543,4.68677495005351
0.255915,-89.9990842774353,4.54937889648091
0.2634125,-89.9990574249452,4.41980168604698
0.27091,-89.9990305701272,4.2973941535595
0.2784075,-89.9990037129228,4.18157706175237
0.285905,-89.998976853275,4.07183193242987
0.2934025,-89.9989499911245,3.96769328339462
0.3009,-89.9989231264139,3.86874202596525
0.3083975,-89.9988962590854,3.77459982557745
0.315895,-89.9988693890805,3.68492426546266
0.3233925,-89.998842516342,3.59940468307534
0.33089,-89.9988156408098,3.51775857256419
0.3383875,-89.9987887624273,3.43972846549621
0.345885,-89.9987618811374,3.36507921726645
0.3533825,-89.9987349968811,3.29359563894326
0.36088,-89.9987081096012,3.22508042431257
0.3683775,-89.9986812192409,3.15935233006435
0.375875,-89.9986543257423,3.09624457377578
0.3833725,-89.9986274290491,3.03560341987528
0.39087,-89.9986005291042,2.97728692834715
0.3983675,-89.9985736258507,2.92116384473668
0.405865,-89.9985467192322,2.86711261318412
0.4133625,-89.9985198091935,2.81502049686725
0.42086,-89.9984928956776,2.76478279245827
0.4283575,-89.9984659786297,2.71630212707643
0.435855,-89.998439057994,2.66948782780279
0.4433525,-89.9984121337152,2.6242553551676
0.45085,-89.9983852057392,2.58052579316315
0.4583475,-89.9983582740104,2.53822538930997
0.465845,-89.9983313384749,2.49728513913712
0.4733425,-89.9983043990782,2.45764041015223
0.48084,-89.9982774557669,2.41923060099102
0.4883375,-89.9982505084872,2.38199883196548
0.495835,-89.9982235571859,2.3458916636874
0.5033325,-89.99819660181,2.31085884083955
0.51083,-89.9981696423064,2.27685305851123
0.5183275,-89.998142678623,2.24382974881311
0.525825,-89.9981157107072,2.21174688574753
0.5333225,-89.9980887385069,2.18056480653767
0.54082,-89.9980617619711,2.15024604781846
0.5483175,-89.9980347810477,2.12075519526669
0.555815,-89.9980077956859,2.09205874540126
0.5633125,-89.9979808058344,2.06412497841994
0.57081,-89.9979538114425,2.0369238410576
0.5783075,-89.9979268124604,2.01042683855663
0.585805,-89.9978998088373,1.9846069349332
0.5933025,-89.9978728005237,1.95943846080537
0.6008,-89.9978457874696,1.93489702812269
0.6082975,-89.9978187696258,1.91095945120162
0.615795,-89.9977917469431,1.88760367352959
0.6232925,-89.9977647193728,1.86480869985177
0.63079,-89.9977376868657,1.84255453310107
0.6382875,-89.9977106493739,1.82082211577327
0.645785,-89.9976836068482,1.7995932753858
0.6532825,-89.997656559242,1.77885067369232
0.66078,-89.9976295065061,1.75857775935464
