# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497500000000000000e-03,3.103334788941119999e-05,1.381406631467653709e-09
1.599499999999999814e-02,5.841484173498912372e-05,4.895411031346160337e-09
2.349250000000000000e-02,8.579636470857185838e-05,1.055941639898674926e-08
3.099000000000000000e-02,1.131780308596979279e-04,1.837441836800054843e-08
3.848750000000000000e-02,1.405598759067592401e-04,2.834020651563743818e-08
4.598500000000000000e-02,1.679419436415800066e-04,4.045667332350431029e-08
5.348250000000000000e-02,1.953242800945991008e-04,5.472371531896464858e-08
6.098000000000000000e-02,2.227070819258205594e-04,7.114127847241632510e-08
6.847750000000000000e-02,2.500902880932281058e-04,8.970924724133312882e-08
7.597500000000000000e-02,2.774739130536358223e-04,1.104275349889798584e-07
8.347250000000000000e-02,3.048580115085772679e-04,1.332960932964319097e-07
9.097000000000000000e-02,3.322426409179988029e-04,1.583149131964610341e-07
9.846750000000000000e-02,3.596278617591890775e-04,1.854840382223518139e-07
1.059650000000000000e-01,3.869989122771602783e-04,2.147938129253752004e-07
1.134625000000000000e-01,4.143667967180660831e-04,2.462492436817528161e-07
1.209600000000000000e-01,4.417353609403327553e-04,2.798523661309483962e-07
1.284575000000000000e-01,4.691046493664320183e-04,3.156029406744370847e-07
1.359550000000000000e-01,4.964747064335807989e-04,3.535007130189618132e-07
1.434525000000000000e-01,5.238455765787934952e-04,3.935454142949258219e-07
1.509500000000000000e-01,5.512173042279212886e-04,4.357367611679905747e-07
1.584475000000000000e-01,5.785899337871483125e-04,4.800744559815633231e-07
1.659450000000000000e-01,6.059635096363847956e-04,5.265581868930758672e-07
1.734425000000000000e-01,6.333380761237389312e-04,5.751876280013076360e-07
1.809400000000000000e-01,6.607136775610678546e-04,6.259624395125767286e-07
1.884375000000000000e-01,6.880903582200236651e-04,6.788822678976917838e-07
1.959350000000000000e-01,7.154681623286637772e-04,7.339467460321404859e-07
2.034325000000000000e-01,7.428471340684232854e-04,7.911554934004298042e-07
2.109300000000000000e-01,7.702273175713272640e-04,8.505081162394353085e-07
2.184275000000000000e-01,7.976087569174706475e-04,9.120042077391137781e-07
2.259250000000000000e-01,8.249914961326332025e-04,9.756433482217582434e-07
2.334225000000000000e-01,8.523755791860801153e-04,1.041425105345003091e-06
2.409200000000000000e-01,8.797610499885086211e-04,1.109349034300929743e-06
2.484175000000000000e-01,9.071479523899275222e-04,1.179414678022624647e-06
2.559150000000000000e-01,9.345363301779134645e-04,1.251621567391574650e-06
2.634125000000000000e-01,9.619262270757019838e-04,1.325969221465164595e-06
2.709100000000000000e-01,9.893176867404340248e-04,1.402457147690847483e-06
2.784075000000000000e-01,1.016710752761520098e-03,1.481084842163707288e-06
2.859050000000000000e-01,1.044105468658922684e-03,1.561851789830548367e-06
2.934025000000000000e-01,1.071501877881714899e-03,1.644757464759372215e-06
3.009000000000000000e-01,1.098900023806450394e-03,1.729801330381952883e-06
3.083975000000000000e-01,1.126299949735793142e-03,1.816982839720869967e-06
3.158950000000000000e-01,1.153701698897093876e-03,1.906301435703664449e-06
3.233925000000000000e-01,1.181105314440914498e-03,1.997756551389172887e-06
3.308900000000000000e-01,1.208510839439937146e-03,2.091347610231967922e-06
3.383875000000000000e-01,1.235918316887502913e-03,2.187074026409431800e-06
3.458850000000000000e-01,1.263327789696525472e-03,2.284935205044707717e-06
3.533825000000000000e-01,1.290739300698286966e-03,2.384930542530857428e-06
3.608800000000000000e-01,1.318152892641371579e-03,2.487059426805486689e-06
3.683775000000000000e-01,1.345568608190494822e-03,2.591321237667544475e-06
3.758750000000000000e-01,1.372986489925655685e-03,2.697715347069627698e-06
3.833725000000000000e-01,1.400406580341000389e-03,2.806241119406157906e-06
3.908700000000000000e-01,1.427828921844039164e-03,2.916897911864809329e-06
3.983675000000000000e-01,1.455253556754805121e-03,3.029685074720569067e-06
4.058650000000000000e-01,1.482680527304861126e-03,3.144601951633123582e-06
4.133625000000000000e-01,1.510109875636743383e-03,3.261647880048117691e-06
4.208600000000000000e-01,1.537541643803196426e-03,3.380822191444999368e-06
