# Frequency (GHz),Output Power (W)
8.497500000000000000e-03,3.881797886450775288e-4
1.599499999999999814e-02,1.375365214861381344e-3
2.349250000000000000e-02,2.966944921199416531e-3
3.099000000000000000e-02,5.162925739585738150e-3
3.848750000000000000e-02,7.963321478806962507e-3
4.598500000000000000e-02,1.136814922535633580e-2
5.348250000000000000e-02,1.537742932703429945e-2
6.098000000000000000e-02,1.999118518043168565e-2
6.847750000000000000e-02,2.520944296351300681e-2
7.597500000000000000e-02,3.103223132489796983e-2
8.347250000000000000e-02,3.745958103196958574e-2
9.097000000000000000e-02,4.449152457846906731e-2
9.846750000000000000e-02,5.212809575190474407e-2
1.059650000000000000e-01,6.036936650024110875e-2
1.134625000000000000e-01,6.921537925613643675e-2
1.209600000000000000e-01,7.866617897700346438e-2
1.284575000000000000e-01,8.872182066793616936e-2
1.359550000000000000e-01,9.938236283934093424e-2
1.434525000000000000e-01,1.106478675045276906e-1
1.509500000000000000e-01,1.225184001771650216e-1
1.584475000000000000e-01,1.349940298686128556e-1
1.659450000000000000e-01,1.480748290851213014e-1
1.734425000000000000e-01,1.617608738248864545e-1
1.809400000000000000e-01,1.760522435750126326e-1
1.884375000000000000e-01,1.909490213083065675e-1
1.959350000000000000e-01,2.064512934799967407e-1
2.034325000000000000e-01,2.225591500242875740e-1
2.109300000000000000e-01,2.392726843508387635e-1
2.184275000000000000e-01,2.565919933410969651e-1
2.259250000000000000e-01,2.745171773445492091e-1
2.334225000000000000e-01,2.930483401748158549e-1
2.409200000000000000e-01,3.121855891056989436e-1
2.484175000000000000e-01,3.319290348670878004e-1
2.559150000000000000e-01,3.522787916407855965e-1
2.634125000000000000e-01,3.732349770561977402e-1
2.709100000000000000e-01,3.947977121859949622e-1
2.784075000000000000e-01,4.169671215416327759e-1
2.859050000000000000e-01,4.397433330687931698e-1
2.934025000000000000e-01,4.631264781427756362e-1
3.009000000000000000e-01,4.871166915637504520e-1
3.083975000000000000e-01,5.117141115519709832e-1
3.158950000000000000e-01,5.369188797429650794e-1
3.233925000000000000e-01,5.627311411825027976e-1
3.308900000000000000e-01,5.891510443216862588e-1
