"Freq [GHz]","sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna)))))))*sqrt(2) []"
0.001,19.9881527112069
0.0084975,19.9881575673248
0.015995,19.9881542150887
0.0234925,19.9881487677802
0.03099,19.9881411177457
0.0384875,19.9881314242061
0.045985,19.9881197602899
0.0534825,19.9881060816902
0.06098,19.9880902526793
0.0684775,19.9880723441363
0.075975,19.9880523981649
0.0834725,19.9880303583051
0.09097,19.9880062432065
0.0984675,19.9879800392086
0.105965,19.9879518241646
0.1134625,19.9879215052153
0.12096,19.9878891161237
0.1284575,19.9878546520841
0.135955,19.987818113701
0.1434525,19.987779504381
0.15095,19.9877388305636
0.1584475,19.9876960999106
0.165945,19.9876513412994
0.1734425,19.9876050763584
0.18094,19.987554713512
0.1884375,19.9875039370559
0.195935,19.9874508617113
0.2034325,19.9873956718622
0.21093,19.9873383880733
0.2184275,19.9872790264836
0.225925,19.9872175803576
0.2334225,19.987154051155
0.24092,19.9870884448791
0.2484175,19.9870207622001
0.255915,19.9869509941048
0.2634125,19.9868791514999
0.27091,19.9868052276131
0.2784075,19.9867292239442
0.285905,19.986651136084
0.2934025,19.9865709700182
0.3009,19.9864887223693
0.3083975,19.9864043906035
0.315895,19.9863179767517
0.3233925,19.9862294805093
0.33089,19.9861388993703
0.3383875,19.9860462345002
0.345885,19.9859514867773
0.3533825,19.9858546518124
0.36088,19.985755732181
0.3683775,19.9856547248047
0.375875,19.9855516301093
0.3833725,19.9854464479844
0.39087,19.9853391777995
0.3983675,19.9852298186756
0.405865,19.9851183698697
0.4133625,19.9850048316642
0.42086,19.9848892009357
0.4283575,19.9847714802568
0.435855,19.9846516651505
0.4433525,19.9845297587752
0.45085,19.9844057572292
0.4583475,19.9842796611273
0.465845,19.9841514710032
0.4733425,19.9840211837327
0.48084,19.9838887996037
0.4883375,19.9837543177039
0.495835,19.9836177379439
0.5033325,19.9834790587245
0.51083,19.9833382781574
0.5183275,19.9831953982744
0.525825,19.9830504154147
0.5333225,19.9829033298687
0.54082,19.9827541415021
0.5483175,19.9826028481445
0.555815,19.982449449231
0.5633125,19.9822939441524
0.57081,19.9821363313998
0.5783075,19.9819766106744
0.585805,19.9818147805497
0.5933025,19.9816508407241
0.6008,19.9814847889038
0.6082975,19.9813166256095
0.615795,19.9811463485286
0.6232925,19.9809739575708
0.63079,19.9807994509651
0.6382875,19.9806228281748
0.645785,19.9804440881156
0.6532825,19.9802632293835
0.66078,19.9800802512221
0.6682775,19.9798951527946
0.675775,19.9797079319256
0.6832725,19.9795185883839
0.69077,19.9793271205889
0.6982675,19.9791335274724
0.705765,19.978937808262
0.7132625,19.9787399613072
0.72076,19.978539985604
0.7282575,19.9783378794247
0.735755,19.9781336424741
0.7432525,19.9779272728321
0.75075,19.9777187695212
0.7582475,19.9775081311956
0.765745,19.977295356609
0.7732425,19.9770804444915
0.78074,19.9768633933934
0.7882375,19.9766442019177
0.795735,19.9764228692712
0.8032325,19.9761993937374
0.81073,19.9759737736844
0.8182275,19.9757460082087
0.825725,19.9755160955634
0.8332225,19.9752840348426
0.84072,19.9750498239835
0.8482175,19.9748134620185
0.855715,19.9745749473836
0.8632125,19.9743342786057
0.87071,19.9740914542207
0.8782075,19.9738464727194
0.885705,19.9735993328772
0.8932025,19.9733500329016
0.9007,19.9730985711049
0.9081975,19.9728449462835
0.915695,19.9725891566363
0.9231925,19.9723312012194
0.93069,19.972071077582
0.9381875,19.9718087848377
0.945685,19.9715443207517
0.9531825,19.9712776842801
0.96068,19.9710088733161
0.9681775,19.9707378867607
0.975675,19.9704647225098
0.9831725,19.970189378947
0.99067,19.9699118546909
0.9981675,19.9696321476626
1.005665,19.969350256307
1.0131625,19.9690661788679
1.02066,19.9687799136703
1.0281575,19.9684914590329
1.035655,19.9682008129423
1.0431525,19.9679079737655
1.05065,19.9676129396361
1.0581475,19.9673157088874
1.065645,19.9670162794366
1.0731425,19.9667146498138
1.08064,19.9664108178674
1.0881375,19.9661047819336
1.095635,19.9657965396128
1.1031325,19.9654860896926
1.11063,19.96517343
1.1181275,19.9648585584655
1.125625,19.9645414734577
1.1331225,19.9642221726701
1.14062,19.963900654359
1.1481175,19.9635769164673
1.155615,19.9632509569543
1.1631125,19.9629227738497
1.17061,19.9625923651446
1.1781075,19.9622597287393
1.185605,19.9619248626834
1.1931025,19.9615877650182
1.2006,19.9612484332427
1.2080975,19.9609068655508
1.215595,19.9605630599243
1.2230925,19.9602170139642
1.23059,19.9598687256304
1.2380875,19.9595181928705
1.245585,19.9591654134369
1.2530825,19.9588103851137
1.26058,19.9584531055515
1.2680775,19.9580935729425
1.275575,19.9577317846262
1.2830725,19.9573677387051
1.29057,19.9570014325479
1.2980675,19.9566328641491
1.305565,19.9562620311832
1.3130625,19.9558889312182
1.32056,19.9555135620971
1.3280575,19.9551359212615
1.335555,19.9547560065427
1.3430525,19.9543738155907
1.35055,19.9539893459106
1.3580475,19.9536025951304
1.365545,19.9532135608359
1.3730425,19.9528222406508
1.38054,19.9524286318815
1.3880375,19.9520327325392
1.395535,19.9516345396077
1.4030325,19.9512340510238
1.41053,19.9508312640286
1.4180275,19.9504261762707
1.425525,19.9500187850999
1.4330225,19.9496090880005
1.44052,19.949197082206
1.4480175,19.948782765437
1.455515,19.9483661350659
1.4630125,19.9479471882398
1.47051,19.9475259225199
1.4780075,19.947102335137
1.485505,19.9466764235158
1.4930025,19.9462481848427
1.5005,19.9458176166119
1.5079975,19.9453847159101
1.515495,19.9449494802482
1.5229925,19.9445119065859
1.53049,19.9440719923944
1.5379875,19.9436297347356
1.545485,19.9431851309283
1.5529825,19.9427381781395
1.56048,19.9422888735102
1.5679775,19.9418372142048
1.575475,19.9413831973275
1.5829725,19.940926820094
1.59047,19.9404680794652
1.5979675,19.9400069726756
1.605465,19.9395434966423
1.6129625,19.9390776486088
1.62046,19.9386094255459
1.6279575,19.9381388244009
1.635455,19.9376658421964
1.6429525,19.9371904759743
1.65045,19.93671272266
1.6579475,19.9362325792765
1.665445,19.9357500426367
1.6729425,19.9352651098443
1.68044,19.9347777775834
1.6879375,19.9342880429076
1.695435,19.933795902547
1.7029325,19.9333013535747
1.71043,19.9328043925454
1.7179275,19.9323050164744
1.725425,19.931803222074
1.7329225,19.931299006196
1.74042,19.9307923654976
1.7479175,19.9302832967984
1.755415,19.9297717968209
1.7629125,19.9292578622888
1.77041,19.9287414898191
1.7779075,19.9282226761971
1.785405,19.9277014179193
1.7929025,19.927177711854
1.8004,19.9266515544053
1.8078975,19.9261229423863
1.815395,19.9255918721384
1.8228925,19.9250583404253
1.83039,19.9245223436617
1.8378875,19.9239838784498
1.845385,19.9234429412749
1.8528825,19.9228995287114
1.86038,19.9223536370743
1.8678775,19.9218052630733
1.875375,19.9212544028518
1.8828725,19.9207010530392
1.89037,19.9201452100669
1.8978675,19.9195868710984
1.905365,19.919026028721
1.9128625,19.9184626842572
1.92036,19.9178968317562
1.9278575,19.9173284676849
1.935355,19.9167575883053
1.9428525,19.9161841899507
1.95035,19.915608268851
1.9578475,19.9150298211657
1.965345,19.9144488432351
1.9728425,19.9138653311247
1.98034,19.913279281144
1.9878375,19.9126906893462
1.995335,19.9120995518214
2.0028325,19.9115058647769
2.01033,19.910909624242
2.0178275,19.9103108263158
2.025325,19.9097094671228
2.0328225,19.9091055425428
2.04032,19.9084990486954
2.0478175,19.9078899815395
2.055315,19.9072783370632
2.0628125,19.906664111128
2.07031,19.9060472998119
2.0778075,19.9054278989629
2.085305,19.9048059043823
2.0928025,19.9041813120448
2.1003,19.9035541177998
2.1077975,19.902924317427
2.115295,19.9022919067244
2.1227925,19.9016568814941
2.13029,19.9010192375534
2.1377875,19.9003789705629
2.145285,19.8997360762672
2.1527825,19.8990905503747
2.16028,19.8984423885898
2.1677775,19.897791586487
2.175275,19.8971381398032
2.1827725,19.8964820441271
2.19027,19.8958232949749
