Frequency (GHz),kr_large,kr_small
0.030009,0.003771,0.000943
0.030495,0.003832,0.000958
0.030988,0.003894,0.000974
0.031489,0.003957,0.000989
0.031998,0.004021,0.001005
0.032516,0.004086,0.001022
0.033042,0.004152,0.001038
0.033576,0.004219,0.001055
0.034119,0.004288,0.001072
0.034671,0.004357,0.001089
0.035232,0.004427,0.001107
0.035802,0.004499,0.001125
0.036381,0.004572,0.001143
0.036969,0.004646,0.001161
0.037567,0.004721,0.001180
0.038175,0.004797,0.001199
0.038792,0.004875,0.001219
0.039420,0.004954,0.001238
0.040057,0.005034,0.001258
0.040705,0.005115,0.001279
0.041364,0.005198,0.001299
0.042033,0.005282,0.001320
0.042712,0.005367,0.001342
0.043403,0.005454,0.001364
0.044105,0.005542,0.001386
0.044819,0.005632,0.001408
0.045544,0.005723,0.001431
0.046280,0.005816,0.001454
0.047029,0.005910,0.001477
0.047789,0.006005,0.001501
0.048562,0.006103,0.001526
0.049348,0.006201,0.001550
0.050146,0.006302,0.001575
0.050957,0.006403,0.001601
0.051781,0.006507,0.001627
0.052619,0.006612,0.001653
0.053470,0.006719,0.001680
0.054335,0.006828,0.001707
0.055213,0.006938,0.001735
0.056106,0.007051,0.001763
0.057014,0.007165,0.001791
0.057936,0.007280,0.001820
0.058873,0.007398,0.001850
0.059825,0.007518,0.001879
0.060793,0.007639,0.001910
0.061776,0.007763,0.001941
0.062775,0.007889,0.001972
0.063791,0.008016,0.002004
0.064823,0.008146,0.002036
0.065871,0.008278,0.002069
0.066936,0.008411,0.002103
0.068019,0.008548,0.002137
0.069119,0.008686,0.002171
0.070237,0.008826,0.002207
0.071373,0.008969,0.002242
0.072528,0.009114,0.002279
0.073701,0.009262,0.002315
0.074893,0.009411,0.002353
0.076104,0.009564,0.002391
0.077335,0.009718,0.002430
0.078586,0.009875,0.002469
0.079857,0.010035,0.002509
0.081149,0.010197,0.002549
0.082461,0.010362,0.002591
0.083795,0.010530,0.002632
0.085150,0.010700,0.002675
0.086527,0.010873,0.002718
0.087927,0.011049,0.002762
0.089349,0.011228,0.002807
0.090794,0.011410,0.002852
0.092263,0.011594,0.002899
0.093755,0.011782,0.002945
0.095271,0.011972,0.002993
0.096812,0.012166,0.003041
0.098378,0.012363,0.003091
0.099969,0.012563,0.003141
0.101586,0.012766,0.003191
0.103229,0.012972,0.003243
0.104899,0.013182,0.003296
0.106596,0.013395,0.003349
0.108320,0.013612,0.003403
0.110072,0.013832,0.003458
0.111852,0.014056,0.003514
0.113661,0.014283,0.003571
0.115500,0.014514,0.003629
0.117368,0.014749,0.003687
0.119266,0.014987,0.003747
0.121195,0.015230,0.003807
0.123155,0.015476,0.003869
0.125147,0.015726,0.003932
0.127172,0.015981,0.003995
0.129228,0.016239,0.004060
0.131319,0.016502,0.004125
0.133443,0.016769,0.004192
0.135601,0.017040,0.004260
0.137794,0.017316,0.004329
0.140023,0.017596,0.004399
0.142288,0.017880,0.004470
0.144589,0.018170,0.004542
0.146928,0.018463,0.004616
0.149304,0.018762,0.004691
0.151719,0.019066,0.004766
0.154173,0.019374,0.004843
0.156667,0.019687,0.004922
0.159201,0.020006,0.005001
0.161775,0.020329,0.005082
0.164392,0.020658,0.005165
0.167051,0.020992,0.005248
0.169753,0.021332,0.005333
0.172499,0.021677,0.005419
0.175289,0.022027,0.005507
0.178124,0.022384,0.005596
0.181005,0.022746,0.005686
0.183932,0.023114,0.005778
0.186907,0.023487,0.005872
0.189930,0.023867,0.005967
0.193002,0.024253,0.006063
0.196124,0.024646,0.006161
0.199296,0.025044,0.006261
0.202520,0.025449,0.006362
0.205795,0.025861,0.006465
0.209124,0.026279,0.006570
0.212506,0.026704,0.006676
0.215943,0.027136,0.006784
0.219436,0.027575,0.006894
0.222985,0.028021,0.007005
0.226592,0.028474,0.007119
0.230257,0.028935,0.007234
0.233981,0.029403,0.007351
0.237766,0.029879,0.007470
0.241611,0.030362,0.007590
0.245519,0.030853,0.007713
0.249490,0.031352,0.007838
0.253526,0.031859,0.007965
0.257626,0.032374,0.008094
0.261793,0.032898,0.008224
0.266027,0.033430,0.008357
0.270330,0.033971,0.008493
0.274702,0.034520,0.008630
0.279146,0.035078,0.008770
0.283661,0.035646,0.008911
0.288249,0.036222,0.009056
0.292911,0.036808,0.009202
0.297648,0.037404,0.009351
0.302463,0.038009,0.009502
0.307355,0.038623,0.009656
0.312326,0.039248,0.009812
0.317378,0.039883,0.009971
0.322511,0.040528,0.010132
0.327727,0.041183,0.010296
0.333028,0.041850,0.010462
0.338414,0.042526,0.010632
0.343888,0.043214,0.010804
0.349450,0.043913,0.010978
0.355102,0.044623,0.011156
0.360846,0.045345,0.011336
0.366682,0.046079,0.011520
0.372613,0.046824,0.011706
0.378640,0.047581,0.011895
0.384764,0.048351,0.012088
0.390987,0.049133,0.012283
0.397311,0.049928,0.012482
0.403737,0.050735,0.012684
0.410267,0.051556,0.012889
0.416903,0.052390,0.013097
0.423646,0.053237,0.013309
0.430498,0.054098,0.013525
0.437461,0.054973,0.013743
0.444537,0.055862,0.013966
0.451727,0.056766,0.014191
0.459033,0.057684,0.014421
0.466458,0.058617,0.014654
0.474003,0.059565,0.014891
0.481669,0.060528,0.015132
0.489460,0.061507,0.015377
0.497376,0.062502,0.015626
0.505421,0.063513,0.015878
0.513596,0.064540,0.016135
0.521903,0.065584,0.016396
0.530344,0.066645,0.016661
0.538922,0.067723,0.016931
0.547639,0.068818,0.017205
0.556497,0.069931,0.017483
0.565497,0.071063,0.017766
0.574644,0.072212,0.018053
0.583938,0.073380,0.018345
0.593383,0.074567,0.018642
0.602981,0.075773,0.018943
0.612733,0.076998,0.019250
0.622644,0.078244,0.019561
0.632715,0.079509,0.019877
0.642948,0.080795,0.020199
0.653348,0.082102,0.020526
0.663915,0.083430,0.020858
0.674653,0.084779,0.021195
0.685565,0.086151,0.021538
0.696654,0.087544,0.021886
0.707922,0.088960,0.022240
0.719372,0.090399,0.022600
0.731007,0.091861,0.022965
